"","N","BaseRisk","Censoring","Assoc_AX","Assoc_YX","True_p1","True_p2","Confounding_RD","Confounding_logRR","IPTW_Bias_RD","IPTW_Bias_logRR","Theo_Var_RD","Emp_Var_RD","Ratio_RD","Theo_Var_logRR","Emp_Var_logRR","Ratio_logRR"
"214",10000,"Moderate (~20%)","High","None","Strong","0.322","0.408","0.002","0.006","0.000","0.001",0.000114727752470823,0.000116258592080637,1.013,0.000888668443324243,0.000896033440935763,1.008
"215",10000,"Moderate (~20%)","Modest","None","Strong","0.322","0.408","0.001","0.002","0.000","0.000",9.70724551860734e-05,9.85308767184545e-05,1.015,0.000752363924665389,0.000755978331877153,1.005
"216",10000,"Moderate (~20%)","None","None","Strong","0.322","0.408","0.002","0.004","0.001","0.002",9.20204151629406e-05,8.62520477672819e-05,0.937,0.00071176160804246,0.000675217668696915,0.949
"217",500,"Moderate (~20%)","High","Strong","Modest","0.217","0.319","0.126","0.484","0.001","0.012",0.00343539867753301,0.00364150810823615,1.06,0.0509808267529929,0.0584071317644386,1.146
"218",500,"Moderate (~20%)","Modest","Strong","Modest","0.217","0.319","0.124","0.478","0.002","0.005",0.00291506364799355,0.00262632219905943,0.901,0.0432891428156718,0.0439332059170335,1.015
"219",500,"Moderate (~20%)","None","Strong","Modest","0.217","0.319","0.127","0.490","0.000","0.013",0.00276526077477451,0.00313448979389337,1.134,0.0411041954566201,0.0527049912260596,1.282
"220",2000,"Moderate (~20%)","High","Strong","Modest","0.217","0.319","0.124","0.485","0.000","0.002",0.000858790795735005,0.000819175577027531,0.954,0.0127530482442659,0.013159924202227,1.032
"221",2000,"Moderate (~20%)","Modest","Strong","Modest","0.217","0.319","0.125","0.484","0.001","0.009",0.000728906281974041,0.000724492765435714,0.994,0.0107984464307547,0.0114115048251493,1.057
"222",2000,"Moderate (~20%)","None","Strong","Modest","0.217","0.319","0.126","0.485","0.001","0.005",0.000691129643961349,0.000665686624313036,0.963,0.0102718702838939,0.0109166224238056,1.063
"223",10000,"Moderate (~20%)","High","Strong","Modest","0.217","0.319","0.123","0.471","0.001","0.005",0.00017249529337568,0.000189924381252846,1.101,0.00255616110543504,0.00308637138149141,1.207
"224",10000,"Moderate (~20%)","Modest","Strong","Modest","0.217","0.319","0.127","0.492","0.000","0.001",0.000146152629449164,0.000155000702888547,1.061,0.0021688358816099,0.00243288939580902,1.122
"225",10000,"Moderate (~20%)","None","Strong","Modest","0.217","0.319","0.123","0.477","0.000","0.001",0.00013825105260681,0.000120613923916234,0.872,0.00205445912317675,0.00195190711049742,0.95
"226",500,"Moderate (~20%)","High","Strong","None","0.200","0.300","0.000","0.004","0.001","0.003",0.00327278086548508,0.00330218152680524,1.009,0.0560190759999596,0.0577320421453041,1.031
"227",500,"Moderate (~20%)","Modest","Strong","None","0.200","0.300","0.000","0.000","0.000","0.006",0.00278636723769797,0.00254220830047363,0.912,0.0477541728118555,0.045170417573371,0.946
"228",500,"Moderate (~20%)","None","Strong","None","0.200","0.300","0.002","0.009","0.000","0.007",0.00263692201885877,0.00248772733815936,0.943,0.0452151260098019,0.0435338572461125,0.963
